SummitCode,RegionName,SummitName,AltM,AltFt,Latitude,Longitude,Points,BonusPoints,ActivationCount,ParcelOwner1,Region1,ParcelOwner2,Region2,ParcelOwner3,Region3,ManualAccess,ComputedAccess,RFNearby,Notes 1,ValidFrom,ValidTo,CurrentlyActive,FAYear,FAMonth,FADay,FADate,FACalls
W7W/CH-044,WA-Chelan,Mount Gibbs,2482,8142,48.3941,-120.6104,8,3,0,NPS,Lake Chelan NRA,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-045,WA-Chelan,Buckskin Mountain,2476,8124,48.1651,-120.7656,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-046,WA-Chelan,McGregor Mountain,2476,8122,48.4082,-120.7982,8,3,0,NPS,North Cascades NP,NPS,Lake Chelan NRA,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-047,WA-Chelan,Agnes Mountain,2473,8115,48.3176,-120.9684,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-048,WA-Chelan,Finney Peak,2472,8110,48.2136,-120.4649,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-049,WA-Chelan,Big Chiwaukum,2469,8100,47.7031,-120.9349,8,3,1,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,2025,7,19,2025-07-19,KJ7RTO
W7W/CH-050,WA-Chelan,North Spectacle Butte,2469,8100,48.1331,-120.7675,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-051,WA-Chelan,Corteo Peak,2469,8100,48.5045,-120.7885,8,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-052,WA-Chelan,North Star Mountain,2468,8096,48.2228,-120.9006,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-053,WA-Chelan,Bearcat Ridge,2452,8045,48.1285,-120.6172,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-054,WA-Chelan,Gopher Mountain,2450,8037,48.0971,-120.6559,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-055,WA-Chelan,Beefhide Butte,2448,8030,48.2275,-120.3913,8,3,0,USFS,Wenatchee NF,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-056,WA-Chelan,Enigma Peak,2443,8015,48.2516,-120.7239,8,3,0,NPS,Lake Chelan NRA,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-057,WA-Chelan,Camels Hump,2443,8015,48.3592,-120.5653,8,3,0,NPS,Lake Chelan NRA,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-058,WA-Chelan,Eightmile Mountain,2437,7996,47.5321,-120.8973,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-059,WA-Chelan,Chilly Peak,2432,7980,48.0981,-120.7767,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-060,WA-Chelan,Mount Berge,2432,7980,48.1033,-120.9462,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-061,WA-Chelan,Choral Peak,2432,7980,48.0849,-120.6609,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-062,WA-Chelan,North Navarre Peak,2427,7963,48.1315,-120.3262,8,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2023,8,10,2023-08-10,WW7D
W7W/CH-063,WA-Chelan,7942 Mirror Mountain,2421,7942,48.1511,-120.6634,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-064,WA-Chelan,Heather Ridge,2416,7928,48.3221,-120.8519,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-065,WA-Chelan,McAlester Mountain,2416,7928,48.3982,-120.6537,8,3,0,NPS,Lake Chelan NRA,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-066,WA-Chelan,Needle Peak,2408,7900,48.2796,-120.9027,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-067,WA-Chelan,Bowan Mountain,2406,7895,48.4082,-120.7303,8,3,0,NPS,Lake Chelan NRA,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-068,WA-Chelan,Mount Lyall,2405,7892,48.2818,-120.857,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-069,WA-Chelan,Old Maid Mountain,2402,7882,48.1793,-120.3987,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-070,WA-Chelan,Black Tower,2402,7880,48.2448,-120.7818,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-071,WA-Chelan,Bryan Butte,2394,7855,48.1296,-120.2981,8,3,2,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2023,8,10,2023-08-10,WW7D
W7W/CH-072,WA-Chelan,Copper Benchmark,2390,7840,48.4968,-120.6283,8,3,0,USFS,Wenatchee NF,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-073,WA-Chelan,Jack Ridge,2384,7820,47.5254,-120.9217,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-074,WA-Chelan,Sable Ridge,2384,7820,48.2566,-120.8068,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-075,WA-Chelan,Cornice Peak,2384,7820,48.5067,-120.6571,8,3,0,USFS,Wenatchee NF,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-076,WA-Chelan,Switchblade Peak,2379,7805,48.4854,-120.6531,8,3,0,NPS,North Cascades NP,NPS,Wenatchee NF,USFS,Okanogan NF,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-077,WA-Chelan,Whistler Mountain,2374,7790,48.5156,-120.708,8,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2023,6,15,2023-06-15,K7JRO
W7W/CH-078,WA-Chelan,7782 West Level Peak,2372,7782,48.3822,-120.6377,8,3,0,NPS,Lake Chelan NRA,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-079,WA-Chelan,Frisco Mountain,2371,7780,48.4888,-120.7566,8,3,0,NPS,North Cascades NP,USFS,Wenatchee NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
